"vix.change","day","open","high","low","close","previous","change.percent","volume","vix.previous","vix.change.percent","confirmed.total","confirmed.previous","confirmed.change.percent","deaths.total","deaths.previous","deaths.change.percent"
0.0700000000000003,1,317.92,319.56,315.65,319.23,317.7,0.00481586402266298,26117993,12.91,0.00542215336948104,654,555,0.178378378378378,18,17,0.0588235294117647
1.58,2,320.25,323.33,317.5188,318.31,319.23,-0.00288193465526428,36634380,12.98,0.121725731895223,941,654,0.438837920489297,26,18,0.444444444444444
3.67,3,310.06,311.77,304.88,308.95,318.31,-0.0294052967233201,40485005,14.56,0.25206043956044,2927,941,2.11052072263549,82,26,2.15384615384615
-1.95,4,312.6,318.4,312.19,317.69,308.95,0.0282893672115229,40558486,18.23,-0.106966538672518,5578,2927,0.90570550051247,131,82,0.597560975609756
0.109999999999999,5,324.45,327.85,321.38,324.34,317.69,0.0209323554408385,54149928,16.28,0.00675675675675672,6166,5578,0.105414126927214,133,131,0.0152671755725191
-0.9,6,320.5435,324.09,318.75,323.87,324.34,-0.00144909662699627,31685808,16.39,-0.0549115314215986,8234,6166,0.335387609471294,171,133,0.285714285714286
3.35,7,320.93,322.68,308.29,309.51,323.87,-0.0443387779047149,49897096,15.49,0.216268560361524,9927,8234,0.205610881709983,213,171,0.245614035087719
-0.870000000000001,8,304.3,313.49,302.22,308.66,309.51,-0.00274627637233035,43496401,18.84,-0.0461783439490446,19887,9927,1.0033242671502,426,213,1
-1.92,9,315.31,319.64,313.6345,318.85,308.66,0.0330136720015551,34154134,17.97,-0.106844741235392,23898,19887,0.20168954593453,492,426,0.154929577464789
-0.9,10,323.52,324.76,318.95,321.45,318.85,0.00815430453191145,29706718,16.05,-0.0560747663551402,27642,23898,0.15666582977655,564,492,0.146341463414634
-0.19,11,322.57,325.22,320.2648,325.21,321.45,0.0116969979779126,26356385,15.15,-0.0125412541254125,30801,27642,0.114282613414369,634,564,0.124113475177305
0.51,12,322.37,323.4,318,320.03,325.21,-0.0159281694904831,29421012,14.96,0.0340909090909091,34397,30801,0.116749456186487,719,634,0.134069400630915
-0.430000000000001,13,314.18,321.55,313.85,321.55,320.03,0.00474955472924425,27337215,15.47,-0.0277957336780867,42768,34397,0.243364246881996,1013,719,0.408901251738526
0.140000000000001,14,323.6,323.9,318.71,319.61,321.55,-0.00603327631783548,23580780,15.04,0.00930851063829791,44809,42768,0.0477225963337074,1113,1013,0.0987166831194472
-1.44,15,321.47,327.22,321.47,327.2,319.61,0.0237476925002346,28432573,15.18,-0.0948616600790513,45228,44809,0.00935080006248745,1118,1113,0.00449236298292902
0.41,16,324.19,326.22,323.35,324.87,327.2,-0.00712102689486548,23686892,13.74,0.029839883551674,60376,45228,0.334925267533386,1371,1118,0.226296958855098
-0.470000000000001,17,324.73,325.98,322.85,324.95,324.87,0.000246252347092634,20028447,14.15,-0.0332155477031803,66894,60376,0.107956804028091,1523,1371,0.110867979576951
1.15,18,315.36,319.75,314.61,319,324.95,-0.0183105093091244,38190545,13.68,0.0840643274853801,75146,66894,0.123359344634795,2007,1523,0.31779382797111
-0.449999999999999,19,320,324.57,320,323.62,319,0.0144827586206897,23495991,14.83,-0.0303438975050573,75650,75146,0.00670694381603811,2122,2007,0.057299451918286
1.18,20,322.63,324.65,318.21,320.3,323.62,-0.0102589456770286,25141489,14.38,0.082058414464534,76210,75650,0.00740251156642432,2247,2122,0.0589066918001885
1.52,21,318.62,320.45,310.5,313.05,320.3,-0.022635029659694,32426415,15.56,0.0976863753213366,76833,76210,0.00817478021257053,2251,2247,0.00178015131286159
7.95,22,297.26,304.18,289.23,298.18,313.05,-0.0475003992972369,55548828,17.08,0.465456674473068,79542,76833,0.0352582874546093,2629,2251,0.167925366503776
2.82,23,300.95,302.53,286.13,288.08,298.18,-0.0338721577570596,57668364,25.03,0.112664802237315,80393,79542,0.0106987503457293,2708,2629,0.0300494484594903
-0.290000000000003,24,286.53,297.88,286.5,292.65,288.08,0.0158636489863926,49678431,27.85,-0.0104129263913825,81370,80393,0.0121527993730797,2770,2708,0.0228951255539143
11.6,25,281.1,286,272.96,273.52,292.65,-0.0653681872543994,80151381,27.56,0.420899854862119,82733,81370,0.016750645200934,2814,2770,0.015884476534296
0.950000000000003,26,257.26,278.41,256.37,273.36,273.52,-0.000584966364433929,106721230,39.16,0.0242594484167519,84106,82733,0.0165955543737082,2872,2814,0.0206112295664534
-6.69,27,282.28,301.44,277.72,298.81,273.36,0.0931006731050629,85349339,40.11,-0.166791323859387,90356,84106,0.0743109885144936,3085,2872,0.0741643454038997
3.4,28,303.67,304,285.8,289.32,298.81,-0.0317593119373515,79868852,33.42,0.101735487731897,92933,90356,0.0285205188366019,3160,3085,0.0243111831442464
-4.83,29,296.44,303.4,293.13,302.74,289.32,0.0463846260196323,54794568,36.82,-0.131178707224335,95235,92933,0.0247705336102353,3254,3160,0.029746835443038
