"","bagging.per.MSE","bagging.purity","rf.per.MSE","rf.purity"
"day",1.0571339441501,5.42069748725956,2.17438059221507,15.5873325344221
"open",2.78569226282688,13.4537060699331,2.58393799446408,29.7338670362178
"high",3.09906895688183,7.20716898329048,2.93290784543777,22.6322295583663
"low",2.58945532350916,11.0870641994712,3.4998210600025,29.1983739417525
"close",4.711459935563,12.574724185319,3.18104150327392,50.3180693110709
"previous",0.101717555920345,17.3980140545626,5.45902806631861,84.4828865021149
"change.percent",11.8230554566696,663.057799590931,15.2327437386164,735.087297885463
"volume",2.21241063382016,142.03360767258,1.18271807690741,167.720274028941
"vix.previous",5.45369698204594,43.3839016214248,4.6999307047766,106.47980872144
"vix.change.percent",40.6278854075083,1712.9908541122,28.8987407190862,1209.05484347736
"confirmed.total",2.70440916603006,3.22715286239911,1.05509594066721,14.3049726788222
"confirmed.previous",2.68784177668628,1.66557795932381,2.61495295583666,16.4559242224837
"confirmed.change.percent",-1.28760450144982,5.55604401499438,-0.31026959184452,22.6037736750876
"deaths.total",2.0827405573908,2.97951488179309,2.77540266366229,9.47427556125839
"deaths.previous",-1.21000052517093,3.60843377591718,0.746968402850693,14.4264828765024
"deaths.change.percent",-1.44507319237547,10.7418616424796,-1.33263227757391,30.2508413389923
