"timestamp","confirmed.total","deaths.total"
2020-01-22,555,17
2020-01-23,654,18
2020-01-24,941,26
2020-01-25,1434,42
2020-01-26,2118,56
2020-01-27,2927,82
2020-01-28,5578,131
2020-01-29,6166,133
2020-01-30,8234,171
2020-01-31,9927,213
2020-02-01,12038,259
2020-02-02,16787,362
2020-02-03,19887,426
2020-02-04,23898,492
2020-02-05,27642,564
2020-02-06,30801,634
2020-02-07,34397,719
2020-02-08,37130,806
2020-02-09,40161,906
2020-02-10,42768,1013
2020-02-11,44809,1113
2020-02-12,45228,1118
2020-02-13,60376,1371
2020-02-14,66894,1523
2020-02-15,69039,1666
2020-02-16,71233,1770
2020-02-17,73268,1868
2020-02-18,75146,2007
2020-02-19,75650,2122
2020-02-20,76210,2247
2020-02-21,76833,2251
2020-02-22,78586,2458
2020-02-23,78977,2469
2020-02-24,79542,2629
2020-02-25,80393,2708
2020-02-26,81370,2770
2020-02-27,82733,2814
2020-02-28,84106,2872
2020-02-29,86005,2941
2020-03-01,88383,2996
2020-03-02,90356,3085
2020-03-03,92933,3160
2020-03-04,95235,3254
2020-03-05,98023,3347
2020-03-06,101971,3459
2020-03-07,106004,3558
2020-03-08,109963,3801
2020-03-09,113844,3987
2020-03-10,118880,4263
2020-03-11,126546,4611
2020-03-12,132240,4913
2020-03-13,146672,5411
2020-03-14,157773,5830
2020-03-15,168954,6469
2020-03-16,183593,7148
2020-03-17,199419,7954
2020-03-18,218989,8849
2020-03-19,246905,9954
2020-03-20,276475,11435
2020-03-21,308790,13141
2020-03-22,342252,14841
2020-03-23,384404,16758
2020-03-24,425535,19028
2020-03-25,476369,21803
2020-03-26,539307,24810
2020-03-27,603674,28324
2020-03-28,671309,32003
2020-03-29,730880,35471
2020-03-30,795425,39633
2020-03-31,871674,44477
2020-04-01,947840,50027
2020-04-02,1029275,56334
2020-04-03,1112215,62314
2020-04-04,1192742,68163
2020-04-05,1264109,73178
2020-04-06,1337062,79015
2020-04-07,1413812,86922
2020-04-08,1497403,93651
2020-04-09,1583844,101266
2020-04-10,1671729,108531
2020-04-11,1748223,114586
2020-04-12,1845226,120317
2020-04-13,1915142,126070
2020-04-14,1984840,132972
2020-04-15,2065566,141271
2020-04-16,2162241,148568
2020-04-17,2250566,157457
2020-04-18,2323831,163928
2020-04-19,2404673,168506
2020-04-20,2477668,173929
2020-04-21,2552783,181080
2020-04-22,2629660,187837
2020-04-23,2719097,194706
2020-04-24,2806113,201387
2020-04-25,2890304,206961
2020-04-26,2963242,210840
2020-04-27,3032503,215478
2020-04-28,3107085,221931
2020-04-29,3183962,228695
2020-04-30,3267740,234652
2020-05-01,3354731,239824
2020-05-02,3435281,245142
2020-05-03,3513023,248584
2020-05-04,3589133,252739
2020-05-05,3669172,258618
2020-05-06,3759093,265272
2020-05-07,3848305,270689
2020-05-08,3939833,276252
2020-05-09,4023441,280515
2020-05-10,4099732,284085
2020-05-11,4176006,287547
2020-05-12,4259403,293090
2020-05-13,4344421,298321
2020-05-14,4441499,303592
2020-05-15,4537879,308805
2020-05-16,4629672,312958
2020-05-17,4708205,316297
2020-05-18,4796476,319584
2020-05-19,4892934,324375
2020-05-20,4995742,329236
2020-05-21,5102278,334028
2020-05-22,5209244,339314
2020-05-23,5308225,343305
2020-05-24,5403524,346127
2020-05-25,5490497,347309
2020-05-26,5583031,351520
2020-05-27,5685633,356707
2020-05-28,5803599,361392
2020-05-29,5924709,366076
2020-05-30,6053134,370211
2020-05-31,6160243,373078
2020-06-01,6256493,376608
2020-06-02,6369046,381307
2020-06-03,6496381,387013
2020-06-04,6623083,392161
2020-06-05,6755724,396983
2020-06-06,6881530,400801
2020-06-07,6993970,403550
2020-06-08,7097409,407306
2020-06-09,7220392,412161
2020-06-10,7354172,417366
2020-06-11,7492360,422150
2020-06-12,7621346,426445
2020-06-13,7755445,430695
2020-06-14,7888575,434041
2020-06-15,8010360,437545
2020-06-16,8149939,444334
2020-06-17,8325831,449605
2020-06-18,8464706,454614
2020-06-19,8645640,460883
2020-06-20,8803904,465151
2020-06-21,8934807,469208
2020-06-22,9072666,472779
2020-06-23,9238013,478203
2020-06-24,9405649,483377
2020-06-25,9583608,489928
2020-06-26,9774609,494773
2020-06-27,9952423,499291
2020-06-28,10117641,502450
2020-06-29,10273510,506076
2020-06-30,10447879,511268
2020-07-01,10664168,516253
2020-07-02,10871926,521361
2020-07-03,11076086,526419
2020-07-04,11269114,530767
2020-07-05,11452196,534280
2020-07-06,11620096,538058
2020-07-07,11829602,544163
