"","timestamp","company","category","open","high","low","close","volume","vix.open","vix.high","vix.low","vix.close"
"1",2020-01-02,"alphabet","technology",1348.41,1368.68,1346.49,1368.68,1364265,13.46,13.72,12.42,12.47
"2",2020-01-03,"alphabet","technology",1348,1373.75,1347.32,1361.52,1170629,15.01,16.2,13.13,14.02
"3",2020-01-06,"alphabet","technology",1351.63,1398.32,1351,1397.81,2339343,15.45,16.39,13.54,13.85
"4",2020-01-07,"alphabet","technology",1400.46,1403.5,1391.56,1395.11,1726456,13.84,14.46,13.39,13.79
"5",2020-01-08,"alphabet","technology",1394.82,1411.85,1392.63,1405.04,1766274,15.16,15.24,12.83,13.45
"6",2020-01-09,"alphabet","technology",1421.93,1428.68,1410.21,1419.79,1661438,12.95,13.24,12.53,12.54
"7",2020-01-10,"alphabet","technology",1429.47,1434.94,1419.6,1428.96,1313178,12.42,12.87,12.09,12.56
"8",2020-01-13,"alphabet","technology",1435.25,1441.48,1425.37,1440.03,1525568,12.84,13.09,12.32,12.32
"9",2020-01-14,"alphabet","technology",1440,1442.63,1427.77,1430.59,1305636,12.72,13.82,12.05,12.39
"10",2020-01-15,"alphabet","technology",1433.02,1440.78,1431.66,1439.2,1077519,12.79,12.83,11.95,12.42
"11",2020-01-16,"alphabet","technology",1445.45,1450.7,1440,1450.16,1304040,12.2,12.42,11.78,12.32
"12",2020-01-17,"alphabet","technology",1462.54,1480.55,1456.55,1479.52,2621175,12.21,12.48,11.75,12.1
"13",2020-01-21,"alphabet","technology",1479,1489.88,1470.21,1482.25,2387178,13.23,13.33,12.32,12.85
"14",2020-01-22,"alphabet","technology",1489.73,1500.58,1482.66,1484.17,1422946,12.45,13.01,12.31,12.91
"15",2020-01-23,"alphabet","technology",1487.55,1493.5,1480.32,1484.69,1332562,13.26,14.15,12.94,12.98
"16",2020-01-24,"alphabet","technology",1492.82,1494.2,1463.18,1466.17,1489280,12.75,15.98,12.62,14.56
"17",2020-01-27,"alphabet","technology",1431.54,1436.58,1419.5,1431.73,1706566,17.42,19.02,16.82,18.23
"18",2020-01-28,"alphabet","technology",1441.74,1454.8,1430.36,1450.5,1486586,16.94,18.03,15.69,16.28
"19",2020-01-29,"alphabet","technology",1458.46,1464.14,1445.38,1456.7,1081964,15.68,16.65,14.94,16.39
"20",2020-01-30,"alphabet","technology",1438.1,1455.25,1435,1454.25,1355472,17.82,18.39,15.3,15.49
"21",2020-01-31,"alphabet","technology",1467.86,1469.67,1427.06,1432.78,2191075,16.25,19.99,16.18,18.84
"22",2020-02-03,"alphabet","technology",1461.65,1486.3,1456.61,1482.6,3608760,18.64,18.88,17.1,17.97
"23",2020-02-04,"alphabet","technology",1454.49,1467.34,1422.03,1445.41,4793967,16.45,16.46,15.63,16.05
"24",2020-02-05,"alphabet","technology",1463.61,1464.58,1429.67,1446.05,1818793,16.29,16.32,15.02,15.15
"25",2020-02-06,"alphabet","technology",1451.98,1481.56,1450.48,1475.97,1891079,15.13,15.66,14.7,14.96
"26",2020-02-07,"alphabet","technology",1467.38,1485.24,1465.41,1479.11,1418049,15.07,16.16,14.81,15.47
"27",2020-02-10,"alphabet","technology",1477.23,1508.88,1475.2,1508.66,1915072,15.88,16.43,15.01,15.04
"28",2020-02-11,"alphabet","technology",1513.27,1529.88,1505.45,1510.06,1742647,14.91,15.27,14.38,15.18
"29",2020-02-12,"alphabet","technology",1515.86,1520.3,1508.67,1518.63,1552136,14.86,14.88,13.73,13.74
"30",2020-02-13,"alphabet","technology",1510,1525.95,1504,1513.39,1145658,14.43,15.44,14,14.15
"31",2020-02-14,"alphabet","technology",1514.53,1520.05,1505.55,1518.73,1159857,14.12,14.54,13.38,13.68
"32",2020-02-18,"alphabet","technology",1514.34,1530.56,1511.01,1519.44,1284011,14.98,15.49,14.53,14.83
"33",2020-02-19,"alphabet","technology",1527.2,1530.74,1520.98,1524.87,1137338,14.66,14.74,14.21,14.38
"34",2020-02-20,"alphabet","technology",1519.01,1527.07,1504.26,1516.99,1298386,14.54,17.21,14.49,15.56
"35",2020-02-21,"alphabet","technology",1504.58,1510.94,1478.49,1483.46,2126843,17.33,18.21,16.19,17.08
"36",2020-02-24,"alphabet","technology",1423.05,1436.38,1406.79,1419.86,2478039,22.25,26.35,22,25.03
"37",2020-02-25,"alphabet","technology",1431,1436.85,1380.42,1386.32,2578966,23.28,30.25,22.62,27.85
"38",2020-02-26,"alphabet","technology",1394.98,1413.67,1376.55,1390.47,2490178,26.63,29.57,24.76,27.56
"39",2020-02-27,"alphabet","technology",1359.14,1369.4,1314.24,1314.95,3114476,32.14,39.31,29.37,39.16
"40",2020-02-28,"alphabet","technology",1274.31,1342.45,1268.21,1339.25,4010900,42.02,49.48,39.37,40.11
"41",2020-03-02,"alphabet","technology",1351.39,1387.47,1325.2,1386.32,2771463,38.54,40.41,31.5,33.42
"42",2020-03-03,"alphabet","technology",1397.68,1408.19,1329.24,1337.72,2830112,33.65,41.06,24.93,36.82
